"Title","Domain","File"
"AI绯荤粺 30浠嶯PU璋冨害鍣ㄥ埌AI鎺ㄧ悊寮曟搸","tech/soc-pm","src-ai系统-30从npu调度器到ai推理引擎.md"
"AI绯荤粺 31缂栬瘧鍣ㄥ熀纭€","tech/soc-pm","src-ai系统-31编译器基础.md"
"AI绯荤粺 32AI缂栬瘧鍣ㄤ粙缁?page_type: source","tech/soc-pm","src-ai系统-32ai编译器介绍.md"
"AI绯荤粺 33AI缂栬瘧鍣ㄦ灦鏋勫彂灞曞強浼樺寲","tech/soc-pm","src-ai系统-33ai编译器架构发展及优化.md"
"AI绯荤粺 34鎺ㄧ悊寮曟搸浠嬬粛","tech/soc-pm","src-ai系统-34推理引擎介绍.md"
"AI绯荤粺 35澶х粨灞€涔婣I妗嗘灦涓庣紪绋嬭寖寮?page_type: source","tech/soc-pm","src-ai系统-35大结局之ai框架与编程范式.md"
"AI绯荤粺 8AI鑺墖浠嬬粛1","tech/soc-pm","src-ai系统-8ai芯片介绍1.md"
"AI绯荤粺 9AI鑺墖鍩虹CPU","tech/soc-pm","src-ai系统-9ai芯片基础cpu.md"
"Apple Vision Pro vs Meta Quest 3 (404 Error)","industry/smart-glasses","src-alibaba-product-insights-apple-vision-pro-vs-met.md"
"3D DRAM Roadmap and Production Timeline","tech/dram","src-allpcb-allelectrohub-3d-dram-roadmap-and-produc.md"
"AnandTech Forums: Technology, Hardware, Software, and Deals","tech/dram","src-anandtech-show-21533-cxl-gathers-momentum-at-fms-2.md"
"The Ultimate Signoff (TapeOut) Checklist","tech/soc-pm","src-anysilicon-the-ultimate-signoff-tapeout-checklist.md"
"CarPlay Ultra, the next generation of CarPlay, begins rolling out today","industry/car-infotainment","src-apple-newsroom-2025-05-carplay-ultra-the-next-.md"
"CarPlay Ultra, the next generation of CarPlay, begins rolling out today - Apple","industry/car-infotainment","src-apple-newsroom-2025-05-carplay-ultra-the-next.md"
"ARM ATF鍏ラ棬 瀹夊叏鍥轰欢杞欢浠嬬粛鍜屼唬鐮佽繍琛?page_type: source","tech/bsp","src-arm-atf入门-安全固件软件介绍和代码运行.md"
"ARM锛欱ase Boot Security Requirements 1.2","tech/bsp","src-arm-base-boot-security-requirements-1-2.md"
"ARM Bootloader 鍒?Kernel 鍚姩鎬婚€昏緫","tech/bsp","src-arm-bootloader-kernel-logic.md"
"ARM Linux 鍚姩杩囩▼ 鈥?浠庤嚜瑙ｅ帇鍒拌櫄鎷熷唴瀛?page_type: source","tech/bsp","src-arm-linux-boot-process.md"
"ARM Linux 鑷В鍘嬭繃绋?page_type: source","tech/bsp","src-arm-linux-self-decompress.md"
"ARM Linux 鍚姩鏃剁殑鑷В鍘嬭繃绋?page_type: source","tech/bsp","src-arm-linux-启动时的自解压过程.md"
"ARM Linux 鐨勫惎鍔ㄨ繃绋嬶紝杩欎竴鍒囩殑寮€濮?page_type: source","tech/bsp","src-arm-linux-的启动过程-这一切的开始.md"
"ARM SCP鍏ラ棬 AP涓嶴CP閫氫俊","tech/bsp","src-arm-scp入门-ap与scp通信.md"
"ARM SCP鍏ラ棬 framework妗嗘灦浠ｇ爜鍒嗘瀽","tech/bsp","src-arm-scp入门-framework框架代码分析.md"
"ARM SCP鍏ラ棬 绠€浠嬪拰浠ｇ爜涓嬭浇缂栬瘧","tech/bsp","src-arm-scp入门-简介和代码下载编译.md"
"ARM 瀹夊叏鍚姩 鈥?ATF/TF-A 鍙婁笌 UEFI 鐨勪簰鍔?page_type: source","tech/bsp","src-arm-secure-boot-atf.md"
"ARM SOC 鍚姩娴佺▼浠嬬粛","tech/bsp","src-arm-soc-bootflow-intro.md"
"arm trusted firmware鍒嗘瀽","tech/bsp","src-arm-trusted-firmware分析.md"
"ARM 鏋舵瀯bootloader鍒発ernel鍚姩鎬婚€昏緫","tech/bsp","src-arm-架构bootloader到kernel启动总逻辑.md"
"ARMv8 鍚姩鎬讳綋娴佺▼","tech/bsp","src-armv8-bootflow-overview.md"
"armv8涓柇璺敱鏈哄埗","tech/bsp","src-armv8中断路由机制.md"
"銆怉RM瀛︿範銆慍ortex  A绯诲垪绋嬪簭鍛樺涔犳寚鍗?page_type: source","tech/bsp","src-arm学习-cortex-a系列程序员学习指南.md"
"ARM鏀掓満鎸囧崡 5G涔卞脊","tech/soc-pm","src-arm攒机指南-5g乱弹.md"
"arm鏀掓満鎸囧崡 AI鎵嬫満锛堜竴锛?page_type: source","tech/soc-pm","src-arm攒机指南-ai手机-一.md"
"arm鏀掓満鎸囧崡 AI鎵嬫満锛堜簩锛?page_type: source","tech/soc-pm","src-arm攒机指南-ai手机-二.md"
"ARM鏀掓満鎸囧崡 AI绡?page_type: source","tech/soc-pm","src-arm攒机指南-ai篇.md"
"ARM鏀掓満鎸囧崡 鍚庣绡?page_type: source","tech/soc-pm","src-arm攒机指南-后端篇.md"
"ARM鏀掓満鎸囧崡 鍩虹绡?page_type: source","tech/soc-pm","src-arm攒机指南-基础篇.md"
"ARM鏀掓満鎸囧崡 濯掍綋绡?page_type: source","tech/soc-pm","src-arm攒机指南-媒体篇.md"
"ARM鏀掓満鎸囧崡 瀹夊叏绡?page_type: source","tech/soc-pm","src-arm攒机指南-安全篇.md"
"ARM鏀掓満鎸囧崡 寮€绡?page_type: source","tech/soc-pm","src-arm攒机指南-开篇.md"
"ARM鏀掓満鎸囧崡 鏋舵瀯绡?page_type: source","tech/soc-pm","src-arm攒机指南-架构篇.md"
"ARM鏀掓満鎸囧崡 姹借溅绡?page_type: source","tech/soc-pm","src-arm攒机指南-汽车篇.md"
"ARM鏀掓満鎸囧崡 缃戠粶绡?page_type: source","tech/soc-pm","src-arm攒机指南-网络篇.md"
"ARM鐨勫畨鍏ㄥ惎鍔ㄢ€擜TFTF A浠ュ強瀹冧笌UEFI鐨勪簰鍔?page_type: source","tech/bsp","src-arm的安全启动-atftf-a以及它与uefi的互动.md"
"""XDMA: A Distributed, Extensible DMA Architecture for Layout-Flexible Data Movements in Heterogeneous Multi-Accelerator SoCs""","tech/peripheral","src-arxiv-html-250808396v1.md"
"Agentic AI-based Coverage Closure for Formal Verification","tech/soc-pm","src-arxiv-html-260303147v1.md"
"arXiv.org e-Print Archive","tech/soc-pm","src-arxiv.md"
"""Top 10 Mini LED driver chip manufacturers in the world""","tech/tv-backlight","src-asianda-top-10-mini-led-driver-chip-manufacturer.md"
"ATE濡備綍娴嬭瘯SoC鐨勫姛鑰楁寚鏍?page_type: source","tech/soc-pm","src-ate如何测试soc的功耗指标.md"
"ATF bl31涓柇鍒嗘瀽","tech/bsp","src-atf-bl31中断分析.md"
"鎴栬€咃紝灏嗙紪璇戣緭鍑洪噸瀹氬悜鍒發og涓紝鏂逛究缂栬瘧鍑洪棶棰樹簡瀹氫綅","tech/bsp","src-atf入门-1qmeu搭建arm全套源码学习环境.md"
"define INFO(...)    tf_log(LOG_MARKER_INFO __VA_ARGS__)","tech/bsp","src-atf入门-2大软件模型和代码编译运行探究.md"
"ATF鍏ラ棬 3BL1鍚姩娴佺▼鍒嗘瀽","tech/bsp","src-atf入门-3bl1启动流程分析.md"
"ifdef BL32_BASE","tech/bsp","src-atf入门-3bl2启动流程分析.md"
"ATF鍏ラ棬 4BL31鍚姩娴佺▼鍒嗘瀽","tech/bsp","src-atf入门-4bl31启动流程分析.md"
"ATF鍚姩锛堜竴锛夛細鏁翠綋鍚姩娴佺▼","tech/bsp","src-atf启动-一-整体启动流程.md"
"Qualcomm and VoxelSensors Partner to Optimize 3D Sensing","industry/smart-glasses","src-auganix-xr-news-qualcomm-voxelsensors-partnershi.md"
"Samsung Galaxy XR Headset (2025): Highlights, Pros, and Cons of this XR","industry/smart-glasses","src-baapofmovies-samsung-galaxy-xr-headset-2025-highli.md"
"Samsung Galaxy XR Headset (2025) - Highlights, Pros, and Cons","industry/smart-glasses","src-baapofmovies-samsung-galaxy-xr-headset-2025-highlight.md"
"姹借溅鏅鸿兘搴ц埍杞欢鏋舵瀯","industry/car-infotainment","src-blog-chinamaoge-article-details-143466179.md"
"Galaxy XR - The first Android XR headset","industry/smart-glasses","src-blog-products-and-platforms-platforms-android.md"
"Cache 澶у皬娴嬭瘯锛圕璇█瀹炵幇锛?page_type: source","tech/bsp","src-cache-size-test.md"
"瀹濋┈涓浗瀹ｅ竷鑱旀墜鍗庝负 鎻愬崌鏅鸿兘搴ц埍浣撻獙","industry/car-infotainment","src-caixin-2025-03-17-102299245html.md"
"Understanding I2C Protocol: Essential for Embedded Systems in 2025","tech/peripheral","src-cavliwireless-blog-not-mini-in-depth-exploration-o.md"
"""Understanding I2C Protocol: Essential for Embedded Systems in 2025""","tech/peripheral","src-cavliwireless-blog-not-mini-in-depth-exploration-of-i2.md"
"""CGVIS SIGGRAPH Asia 2012 Publication""","tech/tv-backlight","src-cgvis-publications-2012-sig-asia-briefpdf.md"
"瀛楃璁惧椹卞姩","tech/bsp","src-character-device-driver.md"
"From I2C to I3C: Evolution of Two-Wire Communication in Embedded Systems - Chip Interfaces | Interface IPs","tech/peripheral","src-chipinterfaces-from-i2c-to-i3c-evolution-of-two-wi.md"
"""From I2C to I3C: Evolution of Two-Wire Communication in Embedded Systems""","tech/peripheral","src-chipinterfaces-from-i2c-to-i3c-evolution-of-two-wire-co.md"
"Chiplet   浠ラ珮鎬ц兘鍜屼綆鎴愭湰涓洪┍鍔ㄥ姏鐨勮姱鐗囪璁℃柟娉?page_type: source","tech/soc-pm","src-chiplet-以高性能和低成本为驱动力的芯片设计方法.md"
"""Chiplet Summit Proceedings - I3C Related Content""","tech/peripheral","src-chipletsummit-proceeding-files-a0q5f0000044zma-2024020.md"
"Untitled","tech/peripheral","src-chipletsummit-proceeding_files-a0q5f0000044zma-202.md"
"Remote Engineering: Best Practices for Global Teams","tech/soc-pm","src-ciglobaltech-blog-remote-engineering-teams-best-pr.md"
"Remote Engineering - Best Practices for Global Teams","tech/soc-pm","src-ciglobaltech-blog-remote-engineering-teams-best-pract.md"
"Automotive DMS/OMS (Driver/Occupant Monitoring System) Research Report, 2024-2025","industry/car-infotainment","src-cn-report-rinc1660089-automotive-dms-oms-dr.md"
"Untitled","tech/dram","src-computeexpresslink-wp-content-uploads-2025-02-cxl_.md"
"""CODICO Impulse Magazine 01/2025""","tech/tv-backlight","src-content-fileadmin-media-download-impulse-codico.md"
"Untitled","tech/tv-backlight","src-content-fileadmin-media-download-impulse-codico_.md"
"corner鐨勫垎绫?page_type: source","tech/soc-pm","src-corner的分类.md"
"Cortex M鍜孋ortex A鐨凾rustZone宸紓","tech/bsp","src-cortex-m和cortex-a的trustzone差异.md"
"CPU 鏄€庝箞璁よ瘑浠ｇ爜鐨勶紵   鑰佺嫾 鐨勫洖绛?page_type: source","tech/soc-pm","src-cpu-是怎么认识代码的-老狼-的回答.md"
"CPU涓殑瀵勫瓨鍣ㄦ槸浠€涔堜互鍙婂畠鐨勫伐浣滃師鐞嗘槸浠€涔堬紵","tech/bsp","src-cpu中的寄存器是什么以及它的工作原理是什么.md"
"CPU鏄浣曞仛浣撴鍜屽垎绾х殑锛熷吋璁篋Fx鐨勯噸瑕佹€?page_type: source","tech/soc-pm","src-cpu是如何做体检和分级的-兼论dfx的重要性.md"
"CPU鏄€庝箞鏀瑰彉棰戠巼鐨勶紵   鑰佺嫾 鐨勫洖绛?page_type: source","tech/soc-pm","src-cpu是怎么改变频率的-老狼-的回答.md"
"CPU杩愯鍔熻€楀拰浠€涔堢浉鍏筹紵娑堣€楃殑鐢佃兘閮藉幓鍝簡锛?page_type: source","tech/soc-pm","src-cpu运行功耗和什么相关-消耗的电能都去哪了.md"
"CryptoCell is What","tech/bsp","src-cryptocell-is-what.md"
"CXL Gathers Momentum at FMS 2024","tech/dram","src-cxl-fms-2024-anandtech.md"
"CXL Memory Module Box (CMM-B)","tech/dram","src-cxl-memory-module-cmm-b.md"
"CXL Q1 2025 Whitepaper","tech/dram","src-cxl-q1-2025-whitepaper.md"
"DesignCon 2023 Track 2 Paper","tech/dram","src-dcon23-track2-paper.md"
"姝ｇ‘浣跨敤 dd 娴嬭瘯纾佺洏閫熷害","tech/bsp","src-dd-disk-benchmark.md"
"DDR鍩虹鐭ヨ瘑鐐规眹鎬?page_type: source","tech/dram","src-ddr-basics-cnblogs.md"
"DDR 鍩虹鐭ヨ瘑鐐规眹鎬?source_kind: raw_markdown","unknown","src-ddr-basics-summary.md"
"DDR Training 璇﹁В","unknown","src-ddr-training-csdn.md"
"DDR 瀛︿範鏃堕棿 (Part A   1)锛氫竴绡?2002 骞寸殑 DDR 鎺у埗鍣ㄨ璁＄澹鏂?page_type: source","tech/dram","src-ddr-学习时间-part-a-1-一篇-2002-年的-ddr-控制器设计硕士论文.md"
"DDR 瀛︿範鏃堕棿 (Part B   1)锛欴RAM 鍒锋柊","tech/dram","src-ddr-学习时间-part-b-1-dram-刷新.md"
"DDR 瀛︿範鏃堕棿 (Part B","tech/dram","src-ddr-学习时间-part-b.md"
"DDR 瀛︿範鏃堕棿 (Part C   3)锛欴FI 鍗忚鍔熻兘   DFI PHY 涓?DFI 鏃堕挓棰戠巼姣?page_type: source","tech/dram","src-ddr-学习时间-part-c-3-dfi-协议功能-dfi-phy-与-dfi-时钟频率比.md"
"DDR 瀛︿範鏃堕棿 (Part Z   1)锛氳姱鐗囪璁′腑鐨?DDR 妯″瀷鏉傝皥","tech/dram","src-ddr-学习时间-part-z-1-芯片设计中的-ddr-模型杂谈.md"
"DDR1.LPDDR4 DQS VT drift鐞嗚В","tech/dram","src-ddr1-lpddr4-dqs-vt-drift理解.md"
"DDR3 vs DDR4 涓轰粈涔堣鍐呭瓨鏄釜寰堝偦鐨勮澶囷紵DDR5鍦ㄥ摢閲岋紵","tech/dram","src-ddr3-vs-ddr4-为什么说内存是个很傻的设备-ddr5在哪里.md"
"DDR4 SDRAM - Initialization, Training and Calibration","tech/dram","src-ddr4-initialization-calibration.md"
"ddr4鐨勫欢杩燂紵   Neroli 鐨勫洖绛?page_type: source","tech/dram","src-ddr4的延迟-neroli-的回答.md"
"DDR5 Signal Integrity Essentials","tech/dram","src-ddr5-signal-integrity-ema.md"
"DDR涓轰粈涔堥渶瑕乸reamble涓巔ostamble锛?page_type: source","tech/dram","src-ddr为什么需要preamble与postamble.md"
"DDR鎶€鏈熀纭€","tech/dram","src-ddr技术基础.md"
"ddr鐨勫唴瀛樺ぇ灏忔€庝箞绠?  LogicJitterGibbs 鐨勫洖绛?page_type: source","tech/dram","src-ddr的内存大小怎么算-logicjittergibbs-的回答.md"
"How To Receive SPI Data With STM32 DMA / Interrupt / Polling Modes","tech/peripheral","src-deepbluembedded-how-to-receive-spi-with-stm32-dma-.md"
"""How To Receive SPI Data With STM32 DMA / Interrupt / Polling Modes""","tech/peripheral","src-deepbluembedded-how-to-receive-spi-with-stm32-dma-interr.md"
"STM32 PWM Output Example Code (PWM Generation Tutorial)","tech/peripheral","src-deepbluembedded-stm32-pwm-example-timer-pwm-mode-t.md"
"""STM32 PWM Output Example Code (PWM Generation Tutorial)""","tech/peripheral","src-deepbluembedded-stm32-pwm-example-timer-pwm-mode-tutoria.md"
"Accelerating Your Development: Simplify SoC I/O with a Single Multi-Protocol SerDes IP","tech/peripheral","src-design-reuse-blog-56212-accelerating-your-developm.md"
"""Accelerating Your Development: Simplify SoC I/O with a Single Multi-Protocol SerDes IP""","tech/peripheral","src-design-reuse-blog-56212-accelerating-your-development.md"
"Transforming Chaos Into Clarity: Keysight Data Management for the AI Era","tech/soc-pm","src-design-reuse-blog-56263-transforming-chaos-into-cl.md"
"Transforming Chaos Into Clarity - Keysight Data Management for the AI Era","tech/soc-pm","src-design-reuse-blog-56263-transforming-chaos-into-clari.md"
"DI3CM-HCI, A High-Performance MIPI I3C Host Controller IP Core for Next-Generation Embedded Designs","tech/peripheral","src-design-reuse-news-202529816-di3cm-hci-a-high-perfo.md"
"""DI3CM-HCI, A High-Performance MIPI I3C Host Controller IP Core for Next-Generation Embedded Designs""","tech/peripheral","src-design-reuse-news-202529816-di3cm-hci-a-high-performa.md"
"devicetree鍜屽惎鍔ㄥ弬鏁拌В鏋愭祦绋?page_type: source","tech/bsp","src-devicetree和启动参数解析流程.md"
"Tizen Update for Samsung TVs: What It Means for Smart TV Applications","industry/tv","src-digineat-news-samsungtizen9update.md"
"Untitled","tech/peripheral","src-digitalmanuscriptpedia-conferences-indexphp-dmp-ln.md"
"""Digital Manuscript Pedia Conference Article""","tech/peripheral","src-digitalmanuscriptpedia-conferences-indexphp-dmp-lnmr-article-d.md"
"""The MiniLED Road to Success""","tech/tv-backlight","src-displaydaily-the-miniled-road-to-success.md"
"TV Market Recovering: Getting Bigger, Brighter, Better &#8211; Display Daily","industry/tv","src-displaydaily-tv-market-recovering-getting-bigger-b.md"
"TV Market Recovering: Getting Bigger, Brighter, Better","industry/tv","src-displaydaily-tv-market-recovering-getting-bigger-brig.md"
"2025 Sony BRAVIA TVs go official - BRAVIA 8 II, BRAVIA 5, BRAVIA 2 II, BRAVIA 3","industry/tv","src-displayspecifications-en-news-3707dd0-7cd991.md"
"""TCL CSOT at SID Display Week 2024 - a 1000 Hz 4K monitor, 85\"" UD w-HVA Pro TV display, and more""","tech/tv-backlight","src-displayspecifications-en-news-b606c11-1b8dc0.md"
"Advancing DLEP Verification and Compliance with Cadence Design Systems","tech/dram","src-dlep-micron-cadence.md"
"DRAM鍐呭瓨涓?byte鐨? bit鏄惁褰兼鐩搁偦锛熸槸鍚﹀浜庡悓涓€琛岀殑鐩搁偦鐨?鍒楋紵   鑰佺嫾 鐨勫洖绛?page_type: source","tech/dram","src-dram内存中1byte的8-bit是否彼此相邻-是否处于同一行的相邻的8列-老狼-的回答.md"
"DVFS鎶€鏈痯re","tech/soc-pm","src-dvfs技术pre.md"
"LG Announces QNED evo 4K TVs for 2025 with Wireless and AI","industry/tv","src-ecoustics-products-lg-qned-evo-tvs-2025.md"
"EFUSE 1","tech/soc-pm","src-efuse-1.md"
"EFUSE 2","tech/soc-pm","src-efuse-2.md"
"eFuse 涓庡畨鍏ㄥ惎鍔?page_type: source","tech/bsp","src-efuse-secure-boot.md"
"Amlogic S928X Android TV Box Guide: How to Choose in 2024","industry/tv","src-electronics-buyingguides-amlogic-s928x-android-tv-.md"
"Amlogic S928X Android TV Box Guide: How to Choose in 2024","industry/tv","src-electronics-buyingguides-amlogic-s928x-android-tv-bo.md"
"DDR5 Signal Integrity Essentials | EMA Design Automation","tech/dram","src-ema-eda-ema-resources-blog-ddr5-signal-integrity.md"
"Automotive Mini LED Display Expansion 鈥?Competition with OLED and Market Outlook","industry/car-infotainment","src-en-expanding-the-application-area-of-mini-l.md"
"Meta Launches 'Ray-Ban Display' with LCoS Smart Glasses","industry/smart-glasses","src-en-meta-rayban-display-lcos-smart-glasses-s.md"
"""Edge Lit vs Direct Lit: Which is Better for Your Display?""","tech/tv-backlight","src-eureka-blog-electronics-edge-lit-vs-direct-lit.md"
"""An Overview of UART Protocols | Ezurio""","tech/peripheral","src-ezurio-resources-blog-an-overview-of-uart-proto.md"
"鏂囦欢绯荤粺涓庢牴鏂囦欢绯荤粺","tech/bsp","src-filesystem-rootfs.md"
"Flash 涓唬鐮佹墽琛?鈥?XIP 涓?RAM 鍔犺浇","tech/bsp","src-flash-xip-vs-ram.md"
"Google unveils Android XR for next-gen extended reality devices","industry/smart-glasses","src-fonearena-blog-442223-unveils-android-xr-next-gen-.md"
"Google unveils Android XR for next-gen extended reality devices","industry/smart-glasses","src-fonearena-blog-442223-unveils-android-xr-next-gen.md"
"FPGA鐨凙SIC鍘熷瀷楠岃瘉鈥斺€旀€讳綋姒傝","tech/soc-pm","src-fpga的asic原型验证-总体概览.md"
"GDDR6 vs DDR4 vs HBM2涓轰粈涔圕PU杩樹笉鐢℅DDR锛熷紓鏋勫唴瀛樼殑鏈潵鍦ㄥ摢閲岋紵","tech/dram","src-gddr6-vs-ddr4-vs-hbm2为什么cpu还不用gddr-异构内存的未来在哪里.md"
"Applying Agile and Lean Practices to Semiconductor Development","tech/soc-pm","src-gladwellacademy-knowledge-blogs-applying-agile-and-lean.md"
"Applying Agile and Lean Practices to Semiconductor Development - Gladwell Academy","tech/soc-pm","src-gladwellacademy-knowledge-blogs-applying-agile-and.md"
"Galaxy XR Reveals Android XR Support And Gemini Chip In 2025 - Why It Matters Now - Glass Almanac","industry/smart-glasses","src-glassalmanac-galaxy-xr-reveals-android-xr-support-.md"
"Galaxy XR Reveals Android XR Support And Gemini Chip In 2025","industry/smart-glasses","src-glassalmanac-galaxy-xr-reveals-android-xr-support-and.md"
"宸ュ叿閾捐缃?page_type: source","tech/bsp","src-google-tee环境trusty分析.md"
"鍥惧舰椹卞姩鍩虹","tech/bsp","src-graphics-driver-basics.md"
"printenv","tech/bsp","src-hack-uboot.md"
"LG's webOS 25 now coming to 2022, 2023 and 2024 OLED TVs","industry/tv","src-hdtvtest-news-lg-s-web-os-25-now-coming-to-2022-2.md"
"MediaTek debuts Pentonic 800 SoC with 165Hz VRR, VVC decoding and more","industry/tv","src-hdtvtest-news-mediatek-debuts-pentonic-800-soc-wi.md"
"""MIPI I3C - Professional, Portable, Quick Start Instrument - Acute""","tech/peripheral","src-i3c-acute-en-popular-551.md"
"From I2C to I3C: Evolution of Two-Wire Communication in Embedded Systems - Chip Interfaces | Interface IPs","tech/peripheral","src-i3c-chipinterfaces-from-i2c-to-i3c-evolution-of-tw.md"
"""From I2C to I3C: Evolution of Two-Wire Communication in Embedded Systems""","tech/peripheral","src-i3c-chipinterfaces-from-i2c-to-i3c-evolution-of-two-wire-co.md"
"Untitled","tech/peripheral","src-i3c-community-pwmxy87654-attachments-pwmxy87654-te.md"
"""I3C Community Technical Document""","tech/peripheral","src-i3c-community-pwmxy87654-attachments-pwmxy87654-tech-d.md"
"""What is I3C: The Next Generation of I2C - DFRobot""","tech/peripheral","src-i3c-dfrobot-blog-17282html.md"
"""I3C鍗忚璇﹁В锛堝惈鍔ㄦ€佸湴鍧€鍒嗛厤瀹炴垬锛?","tech/peripheral","src-i3c-dynamic-address-csdn.md"
"""[PATCH v2 0/3] Add Qualcomm i3c master controller driver support""","tech/peripheral","src-i3c-lists-linux-kernel-2025-03-26-782.md"
"""MIPI White Paper: Achieving Power Efficiency in IoT Devices with MIPI I3C""","tech/peripheral","src-i3c-mipi-download-mipi-whitepaper-achieving-power.md"
"""Introducing MIPI I3C 鈥搕he Next-Generation Serial Communication Bus""","tech/peripheral","src-i3c-mipi-knowledge-library-webinars-mipi-elektor.md"
"""I3C and I3C Basic | MIPI""","tech/peripheral","src-i3c-mipi-specifications-i3c-sensor-specification.md"
"""NXP I3C Training Reference Material""","tech/peripheral","src-i3c-nxp-docs-en-training-reference-material-tip.md"
"""I3C 鈥斺€?鏈潵浼犳劅鍣ㄧ殑""鍏ㄨ兘閫氫俊鐜?""","tech/peripheral","src-i3c-overview-csdn.md"
"""DDR5 I3C - Prodigy Technovations""","tech/peripheral","src-i3c-prodigytechno-ddr5-i3c.md"
"""I3C鍗忚璇﹁В""","tech/peripheral","src-i3c-protocol-cnblogs.md"
"MIPI I3C Sensor Sessions at MIPI DevCon2016","tech/peripheral","src-i3c-resources-mipi-i3c-sensor-sessions-at-mipi-dev.md"
"""MIPI I3C Sensor Sessions at MIPI DevCon2016""","tech/peripheral","src-i3c-resources-mipi-i3c-sensor-sessions-at-mipi-devcon.md"
"""Open-Source FPGA Implementation of an I3C Controller | Sciety""","tech/peripheral","src-i3c-sciety-articles-activity-103390-chips4010006.md"
"MIPI I3C IP | Synopsys","tech/peripheral","src-i3c-synopsys-designware-ip-interface-ip-mipi-mipi-.md"
"""MIPI I3C IP | Synopsys""","tech/peripheral","src-i3c-synopsys-designware-ip-interface-ip-mipi-mipi-i3c.md"
"I3C Protocol for Smarter Embedded Systems Explained | ThinkPalm","tech/peripheral","src-i3c-thinkpalm-blogs-i3c-explained-what-it-is-how-i.md"
"""I3C Protocol for Smarter Embedded Systems Explained | ThinkPalm""","tech/peripheral","src-i3c-thinkpalm-blogs-i3c-explained-what-it-is-how-it-wo.md"
"""I3C vs I2C: Unraveling the Battle of Communication Protocols""","tech/peripheral","src-i3c-wevolver-article-i3c-vs-i2c.md"
"IBIS Summit Feb 2024 - Burns Presentation","tech/dram","src-ibis-summit-feb24-burns.md"
"Untitled","tech/dram","src-ibis-summits-feb24-burnspdf.md"
"ICCircle Technical Document (2024-05-29)","tech/dram","src-iccircle-20240529.md"
"Untitled","tech/dram","src-iccircle-static-upload-img20240529101952pdf.md"
"IC鍩虹璇? 澶氭ā鍧楀紓姝ヤ氦浜掓椂锛屽浣曠‘瀹氱紦鍐插尯澶у皬","tech/soc-pm","src-ic基础课-多模块异步交互时-如何确定缓冲区大小.md"
"IC璁捐锛屾€庝箞瀹炵幇闈㈢Н鍜屾椂搴忕殑鍧囪　浼樺寲锛?page_type: source","tech/soc-pm","src-ic设计-怎么实现面积和时序的均衡优化.md"
